From SkillID,To KnowledgeID,Score
Skill_3038,Know_115,1.17
Skill_3463,Know_234,1.3
Skill_1757,Know_276,4.5
Skill_2495,Know_90,1.17
Skill_2495,Know_179,1.17
Skill_6277,Know_223,1.17
Skill_457,Know_303,1.99
Skill_457,Know_327,1.14
Skill_5884,Know_302,1.3
Skill_510,Know_28,1.76
Skill_1566,Know_95,1.92
Skill_1566,Know_82,1.92
Skill_5475,Know_71,2.09
Skill_2476,Know_254,2.1
Skill_2476,Know_56,2.1
Skill_2476,Know_189,2.1
Skill_2476,Know_57,2.1
Skill_4415,Know_140,1.52
Skill_1454,Know_5,5.83
Skill_1454,Know_101,5.83
Skill_2856,Know_189,1.7
Skill_2856,Know_254,1.7
Skill_2856,Know_303,2.19
Skill_2856,Know_56,1.7
Skill_2856,Know_57,1.7
Skill_3346,Know_63,4.64
Skill_2475,Know_349,1.48
Skill_6281,Know_246,1.48
Skill_1093,Know_163,1.56
Skill_3921,Know_57,1.53
Skill_3921,Know_189,1.53
Skill_3921,Know_254,1.53
Skill_3921,Know_56,1.53
Skill_1064,Know_89,4.7
Skill_164,Know_255,5.51
Skill_4119,Know_79,1.3
Skill_2665,Know_35,1.17
Skill_2665,Know_236,1.17
Skill_6108,Know_179,2.47
Skill_152,Know_179,2.76
Skill_6172,Know_317,1.3
Skill_3500,Know_252,1.27
Skill_3500,Know_80,1.27
Skill_3500,Know_182,1.27
Skill_396,Know_49,4.74
Skill_396,Know_104,4.74
Skill_1304,Know_303,1.88
Skill_6053,Know_234,1.3
Skill_1345,Know_172,6.23
Skill_1141,Know_16,1.17
Skill_1141,Know_18,1.17
Skill_1361,Know_83,1.17
Skill_1361,Know_4,1.17
Skill_5226,Know_303,2.33
Skill_6182,Know_309,1.38
Skill_6182,Know_323,1.1
Skill_4635,Know_163,1.17
Skill_4375,Know_64,1.3
Skill_2641,Know_28,1.76
Skill_2558,Know_201,1.17
Skill_2558,Know_218,1.17
Skill_3060,Know_254,1.53
Skill_3060,Know_56,1.53
Skill_3060,Know_189,1.53
Skill_3060,Know_57,1.53
Skill_5784,Know_64,1.3
Skill_5371,Know_81,1.72
Skill_4994,Know_234,1.3
Skill_111,Know_74,6.23
Skill_1861,Know_238,1.14
Skill_1861,Know_280,1.14
Skill_1861,Know_310,1.14
Skill_1939,Know_246,1.38
Skill_6005,Know_163,1.17
Skill_5337,Know_309,1.33
Skill_919,Know_215,4.99
Skill_785,Know_219,1.88
Skill_785,Know_294,1.88
Skill_1262,Know_300,1.3
Skill_3385,Know_79,1.38
Skill_3385,Know_212,1.38
Skill_951,Know_18,1.32
Skill_951,Know_16,1.32
Skill_4800,Know_28,4.1
Skill_2236,Know_287,1.3
Skill_4476,Know_140,1.3
Skill_1542,Know_273,1.36
Skill_4819,Know_28,1.76
Skill_113,Know_28,1.14
Skill_1366,Know_56,2.42
Skill_1890,Know_99,1.4
Skill_3446,Know_106,1.99
Skill_3446,Know_300,1.42
Skill_2741,Know_18,4.2
Skill_2741,Know_16,1.58
Skill_3553,Know_304,3.9
Skill_40,Know_196,2.93
Skill_40,Know_240,2.93
Skill_5564,Know_289,1.35
Skill_5564,Know_290,1.35
Skill_5564,Know_160,1.35
Skill_2455,Know_79,1.3
Skill_1085,Know_72,1.12
Skill_2853,Know_303,1.11
Skill_2840,Know_199,1.19
Skill_460,Know_303,1.88
Skill_3534,Know_189,1.82
Skill_3534,Know_75,1.13
Skill_3534,Know_57,1.82
Skill_3534,Know_254,1.82
Skill_3534,Know_56,1.82
Skill_3534,Know_1,1.13
Skill_2128,Know_176,4.74
Skill_4723,Know_218,1.35
Skill_4723,Know_131,1.79
Skill_4723,Know_100,1.79
Skill_4723,Know_170,1.79
Skill_4723,Know_201,1.35
Skill_4723,Know_103,1.79
Skill_3669,Know_65,4.76
Skill_4595,Know_130,1.3
Skill_47,Know_219,1.88
Skill_47,Know_294,1.88
Skill_4273,Know_152,1.3
Skill_3357,Know_68,1.68
Skill_3419,Know_163,1.17
Skill_927,Know_265,1.17
Skill_5559,Know_79,3.9
Skill_60,Know_234,1.38
Skill_60,Know_202,1.1
Skill_2343,Know_151,5.12
Skill_57,Know_17,3.48
Skill_1991,Know_103,2.25
Skill_1991,Know_131,2.25
Skill_1991,Know_100,3.93
Skill_1991,Know_170,2.25
Skill_721,Know_68,1.68
Skill_2374,Know_71,1.12
Skill_493,Know_28,1.76
Skill_2883,Know_81,1.72
Skill_4775,Know_183,1.3
Skill_3054,Know_131,1.73
Skill_3054,Know_103,1.73
